On/Off	Clk	Blank	0	1	2	3	4	5	6	7	8	9	Counter	Reg1	Reg2	Reg3	Reg4	Reg5	Reg6	Reg7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	6	0	00	00	00	00	00	00
1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	6	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	7	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	8	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	9	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	10	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	11	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	12	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	13	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	14	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	15	0	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	00	00	00	00	00	00
1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	00	00	00	00	00	00
1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	00	00	00	00	00	00
1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	3	1	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	4	1	3e	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3e	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	5	1	45	3e	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	45	3e	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	6	1	49	45	3e	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	49	45	3e	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	7	1	51	49	45	3e	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	7	1	51	49	45	3e	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	8	1	3e	51	49	45	3e	00
1	0	0	0	0	0	0	0	0	0	0	0	0	8	1	3e	51	49	45	3e	00
1	1	0	0	0	0	0	0	0	0	0	0	0	9	1	00	3e	51	49	45	3e
1	0	0	0	0	0	0	0	0	0	0	0	0	9	1	00	3e	51	49	45	3e
1	1	0	0	0	0	0	0	0	0	0	0	0	10	1	00	00	3e	51	49	45
1	0	0	0	0	0	0	0	0	0	0	0	0	10	1	00	00	3e	51	49	45
1	1	0	0	0	0	0	0	0	0	0	0	0	11	1	00	00	00	3e	51	49
1	0	0	0	0	0	0	0	0	0	0	0	0	11	1	00	00	00	3e	51	49
1	1	0	0	0	0	0	0	0	0	0	0	0	12	1	3e	00	00	00	3e	51
1	0	0	0	0	0	0	0	0	0	0	0	0	12	1	3e	00	00	00	3e	51
1	1	0	0	0	0	0	0	0	0	0	0	0	13	1	45	3e	00	00	00	3e
1	0	0	0	0	0	0	0	0	0	0	0	0	13	1	45	3e	00	00	00	3e
1	1	0	0	0	0	0	0	0	0	0	0	0	14	1	49	45	3e	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	14	1	49	45	3e	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	15	1	51	49	45	3e	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	15	1	51	49	45	3e	00	00
1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	00	00	00	00	00	00
1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	00	00	00	00	00	00
1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	3	2	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	4	2	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	5	2	21	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	5	2	21	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	6	2	7f	21	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	6	2	7f	21	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	7	2	01	7f	21	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	7	2	01	7f	21	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	8	2	00	01	7f	21	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	8	2	00	01	7f	21	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	9	2	00	00	01	7f	21	00
1	0	0	0	0	0	0	0	0	0	0	0	0	9	2	00	00	01	7f	21	00
1	1	0	0	0	0	0	0	0	0	0	0	0	10	2	00	00	00	01	7f	21
1	0	0	0	0	0	0	0	0	0	0	0	0	10	2	00	00	00	01	7f	21
1	1	0	0	0	0	0	0	0	0	0	0	0	11	2	00	00	00	00	01	7f
1	0	0	0	0	0	0	0	0	0	0	0	0	11	2	00	00	00	00	01	7f
1	1	0	0	0	0	0	0	0	0	0	0	0	12	2	00	00	00	00	00	01
1	0	0	0	0	0	0	0	0	0	0	0	0	12	2	00	00	00	00	00	01
1	1	0	0	0	0	0	0	0	0	0	0	0	13	2	21	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	13	2	21	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	14	2	7f	21	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	14	2	7f	21	00	00	00	00
1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	00	00	00	00	00	00
1	1	0	0	0	1	0	0	0	0	0	0	0	0	3	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	00	00	00	00	00	00
1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	00	00	00	00	00	00
1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	00	00	00	00	00	00
